id,rating,release_date_cert,imdb_id,title,budget,release_date,revenue,runtime,original_language,original_title,vote_average,vote_count,poster_path,genres_id,genres_name,spoken_languages_name,production_companies_id,production_companies_name,production_companies_origin_country
242095,PG-13,2014-01-20 00:00:00+00:00,tt2910814,The Signal,4000000,2014-03-15,2665322,97.0,en,The Signal,5.9,1057,/opZNdMgVBl3kKpKlW58PXnLZKFV.jpg,"[53, 878]","['Thriller', 'Science Fiction']",['English'],"[87213, 28286, 7625, 10146]","['Signal Film Group', 'Low Spark Films', 'Automatik Entertainment', 'Focus Features']","['', 'US', 'US', 'US']"
245891,R,2014-10-24 00:00:00+00:00,tt2911666,John Wick,20000000,2014-10-22,88761661,101.0,en,John Wick,7.3,12706,/h3VxEVUOoBZmo79O8RqKvyGiqmE.jpg,"[28, 53]","['Action', 'Thriller']","['Magyar', 'English', 'Pусский']","[491, 23008, 36259, 36433, 174]","['Summit Entertainment', '87Eleven', 'DefyNite Films', 'MJW Films', 'Warner Bros. Pictures']","['US', 'US', 'US', 'US', 'US']"
513324,R,2018-05-11 00:00:00+00:00,tt2924392,Higher Power,0,2018-05-11,0,95.0,en,Higher Power,5.0,52,/cplMeBlGdkpDzypHRKZ64BrpLoL.jpg,"[28, 878, 53]","['Action', 'Science Fiction', 'Thriller']",['English'],"[54558, 435]","['Break Media', 'Di Bonaventura Pictures']","['', 'US']"
241239,R,2015-04-07 00:00:00+00:00,tt2937898,A Most Violent Year,20000000,2014-12-30,12007070,125.0,en,A Most Violent Year,6.6,930,/zCiDRoN6qEWc1OMpslzrqriwgT2.jpg,"[80, 18, 53]","['Crime', 'Drama', 'Thriller']","['Español', 'English']","[6735, 6736, 7493, 14861, 14862, 53656]","['Participant Media', 'Imagenation Abu Dhabi FZ', 'FilmNation Entertainment', 'Before the Door Pictures', 'Washington Square Films', 'Old Bull Pictures']","['US', '', 'US', '', 'US', '']"
287948,PG-13,2015-09-04 00:00:00+00:00,tt2938956,The Transporter Refueled,25000000,2015-09-03,72629670,96.0,en,The Transporter Refueled,5.5,992,/bsxCXs2PvXCbMyv4Af4Tqb1bXlu.jpg,"[53, 28, 80]","['Thriller', 'Action', 'Crime']",['English'],[6896],['EuropaCorp'],['FR']
356216,R,2015-08-29 00:00:00+00:00,tt2945796,The Rise of the Krays,2500000,2015-08-29,0,110.0,en,The Rise of the Krays,4.6,28,/xqqUwHR1gH04wpJOYxUiPnmGImu.jpg,[80],['Crime'],['English'],"[4098, 32475, 62102]","['Carnaby International', 'Saracen Films', 'Torn Pictures']","['', '', '']"
269149,PG,2016-03-04 00:00:00+00:00,tt2948356,Zootopia,150000000,2016-02-11,1023784195,109.0,en,Zootopia,7.7,11721,/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg,"[16, 12, 10751, 35]","['Animation', 'Adventure', 'Family', 'Comedy']",['English'],"[6125, 2]","['Walt Disney Animation Studios', 'Walt Disney Pictures']","['US', 'US']"
379441,PG,2016-08-26 00:00:00+00:00,tt2950418,Greater,0,2016-08-26,0,130.0,en,Greater,7.1,48,/tyakQi7yU6KnyYq9yE0PaIlWzvw.jpg,"[10751, 18]","['Family', 'Drama']",['English'],[],[],[]
244534,R,2014-06-26 00:00:00+00:00,tt2955096,Happy Christmas,0,2014-06-26,0,82.0,en,Happy Christmas,5.2,107,/gjOQUlsprWkmyZP4hhMGr0GP3LG.jpg,"[35, 18]","['Comedy', 'Drama']",['English'],[29652],['Lucky Coffee Productions'],['']
254024,PG-13,2015-03-27 00:00:00+00:00,tt2967008,The Face of an Angel,0,2014-09-06,0,100.0,en,The Face of an Angel,5.0,103,/3tvpvfe8ItDNxcXwGh3iD37zDjq.jpg,"[18, 53]","['Drama', 'Thriller']","['Français', 'English']","[53326, 288, 48197, 10102, 163, 34381]","['Ypsilon Films', 'BBC Films', 'Multitrade', 'Cattleya', 'Revolution Films', 'Vedette Finance']","['', 'GB', '', 'IT', 'GB', '']"
268920,PG-13,2015-05-08 00:00:00+00:00,tt2967224,Hot Pursuit,35000000,2015-05-08,51680201,87.0,en,Hot Pursuit,5.6,1160,/lobNOBHuJQCP9ZYAf86MBMwRrmZ.jpg,"[28, 35, 80]","['Action', 'Comedy', 'Crime']","['Español', 'English']","[12, 15829, 21, 174]","['New Line Cinema', 'Pacific Standard', 'Metro-Goldwyn-Mayer', 'Warner Bros. Pictures']","['US', '', 'US', 'US']"
258509,PG,2015-12-18 00:00:00+00:00,tt2974918,Alvin and the Chipmunks: The Road Chip,0,2015-12-17,233755553,92.0,en,Alvin and the Chipmunks: The Road Chip,6.0,1048,/w28T1UfscIYUl9V8yLugdoJg5Z6.jpg,"[12, 16, 35, 10751]","['Adventure', 'Animation', 'Comedy', 'Family']",['English'],"[22213, 711, 508, 10930, 5219]","['TSG Entertainment', 'Fox 2000 Pictures', 'Regency Enterprises', 'Bagdasarian Productions', 'Sunswept Entertainment']","['US', 'US', 'US', '', '']"
238636,R,2014-07-18 00:00:00+00:00,tt2975578,The Purge: Anarchy,9000000,2014-07-17,111928365,104.0,en,The Purge: Anarchy,6.6,4472,/f2HD5iVhJWWv72QVWThUKk09zYy.jpg,"[27, 53]","['Horror', 'Thriller']",['English'],"[33, 729, 2481, 3172, 47354]","['Universal Pictures', 'Why Not Productions', 'Platinum Dunes', 'Blumhouse Productions', '5150 Action']","['US', 'FR', 'US', 'US', '']"
227735,PG,2014-09-12 00:00:00+00:00,tt2978462,Dolphin Tale 2,36000000,2014-09-11,52424533,107.0,en,Dolphin Tale 2,6.7,200,/yxrOefK2ulslnzKh98yZoMMPYc.jpg,"[10751, 18]","['Family', 'Drama']",['English'],"[68621, 1088, 12626, 5420]","['St. Petersburg Clearwater Film Commission', 'Alcon Entertainment', 'Boxing Cat Films', 'Color Force']","['', 'US', '', 'US']"
